region,bird
US-AK,houspa
US-AK,grywag
US-AK,eaywag
US-AK,citwag
US-AK,whiwag
US-AK,trepip
US-AK,olbpip
US-AK,pecpip
US-AK,retpip
US-AK,amepip
US-AK,brambl
US-AK,evegro
US-AK,hawfin
US-AK,comros
US-AK,palros2
US-AK,pingro
US-AK,eurbul
US-AK,asrfin1
US-AK,gcrfin
US-AK,houfin
US-AK,purfin
US-AK,casfin
US-AK,origre
US-AK,comred
US-AK,hoared
US-AK,x00625
US-AK,redcro
US-AK,whwcro
US-AK,eursis
US-AK,pinsis
US-AK,amegfi
US-AK,laplon
US-AK,chclon
US-AK,smilon
US-AK,snobun
US-AK,mckbun
US-AK,x00447
US-AK,pinbun
US-AK,yetbun1
US-AK,palbun
US-AK,reebun
US-AK,yebbun
US-AK,litbun
US-AK,rusbun
US-AK,yebbun1
US-AK,grybun
US-AK,chispa
US-AK,clcspa
US-AK,brespa
US-AK,larspa
US-AK,amtspa
US-AK,foxspa
US-AK,daejun
US-AK,whcspa
US-AK,gocspa
US-AK,x00053
US-AK,harspa
US-AK,whtspa
US-AK,x00039
US-AK,vesspa
US-AK,lecspa
US-AK,savspa
US-AK,sonspa
US-AK,linspa
US-AK,swaspa
US-AK,spotow
US-AK,yehbla
US-AK,boboli
US-AK,wesmea
US-AK,orcori
US-AK,hooori
US-AK,bulori
US-AK,rewbla
US-AK,bnhcow
US-AK,rusbla
US-AK,brebla
US-AK,comgra
US-AK,ovenbi1
US-AK,norwat
US-AK,bawwar
US-AK,tenwar
US-AK,orcwar
US-AK,lucwar
US-AK,naswar
US-AK,macwar
US-AK,mouwar
US-AK,kenwar
US-AK,comyel
US-AK,amered
US-AK,camwar
US-AK,cerwar
US-AK,norpar
US-AK,magwar
US-AK,babwar
US-AK,bkbwar
US-AK,yelwar
US-AK,chswar
US-AK,bkpwar
US-AK,btbwar
US-AK,palwar
US-AK,yerwar
US-AK,yetwar
US-AK,prawar
US-AK,btywar
US-AK,towwar
US-AK,herwar
US-AK,x00059
US-AK,btnwar
US-AK,canwar
US-AK,wlswar
US-AK,scatan
US-AK,westan
US-AK,robgro
US-AK,bkhgro
US-AK,blugrb1
US-AK,lazbun
US-AK,indbun
US-AK,dickci
US-AZ,emu1
US-AZ,wfwduc1
US-AZ,bbwduc
US-AZ,fuwduc
US-AZ,snogoo
US-AZ,rosgoo
US-AZ,sxrgoo1
US-AZ,gragoo
US-AZ,swagoo1
US-AZ,x00776
US-AZ,gwfgoo
US-AZ,brant
US-AZ,cacgoo1
US-AZ,x00692
US-AZ,x00414
US-AZ,cangoo
US-AZ,swagoo3
US-AZ,x00415
US-AZ,x00758
US-AZ,x00759
US-AZ,mutswa
US-AZ,blkswa
US-AZ,truswa
US-AZ,tunswa
US-AZ,egygoo
US-AZ,comshe
US-AZ,musduc
US-AZ,rintea1
US-AZ,wooduc
US-AZ,manduc
US-AZ,baitea
US-AZ,gargan
US-AZ,buwtea
US-AZ,cintea
US-AZ,bwxtea1
US-AZ,norsho
US-AZ,x00629
US-AZ,x00630
US-AZ,gadwal
US-AZ,eurwig
US-AZ,amewig
US-AZ,x00724
US-AZ,x00421
US-AZ,mallar3
US-AZ,mdxmal1
US-AZ,x00205
US-AZ,x00612
US-AZ,x00420
US-AZ,x00611
US-AZ,mexduc
US-AZ,mallar4
US-AZ,x00922
US-AZ,whcpin
US-AZ,norpin
US-AZ,x00610
US-AZ,x00628
US-AZ,gnwtea
US-AZ,x00763
US-AZ,x00646
US-AZ,recpoc
US-AZ,canvas
US-AZ,redhea
US-AZ,x00684
US-AZ,rinduc
US-AZ,x00880
US-AZ,x00679
US-AZ,tufduc
US-AZ,gresca
US-AZ,x00680
US-AZ,x00779
US-AZ,lessca
US-AZ,x00613
US-AZ,x00682
US-AZ,harduc
US-AZ,sursco
US-AZ,whwsco2
US-AZ,blksco2
US-AZ,lotduc
US-AZ,buffle
US-AZ,comgol
US-AZ,x00655
US-AZ,bargol
US-AZ,cxbgol1
US-AZ,hoomer
US-AZ,commer
US-AZ,rebmer
US-AZ,rudduc
US-AZ,helgui
US-AZ,norbob
US-AZ,scaqua
US-AZ,elequa
US-AZ,calqua
US-AZ,gamqua
US-AZ,x00689
US-AZ,monqua
US-AZ,wiltur
US-AZ,dusgro
US-AZ,rinphe1
US-AZ,compea
US-AZ,redjun
US-AZ,japqua
US-AZ,relpar1
US-AZ,chukar
US-AZ,leagre
US-AZ,pibgre
US-AZ,horgre
US-AZ,rengre
US-AZ,eargre
US-AZ,wesgre
US-AZ,clagre
US-AZ,x00427
US-AZ,rocpig
US-AZ,batpig1
US-AZ,eucdov
US-AZ,afcdov1
US-AZ,incdov
US-AZ,cogdov
US-AZ,rugdov
US-AZ,whtdov
US-AZ,whwdov
US-AZ,moudov
US-AZ,x00767
US-AZ,grygab1
US-AZ,grbani
US-AZ,greroa
US-AZ,yebcuc
US-AZ,bkbcuc
US-AZ,lesnig
US-AZ,comnig
US-AZ,compoo
US-AZ,bucnig
US-AZ,souwpw1
US-AZ,blkswi
US-AZ,chiswi
US-AZ,vauswi
US-AZ,whtswi
US-AZ,maghum1
US-AZ,plcsta
US-AZ,buthum
US-AZ,luchum
US-AZ,rthhum
US-AZ,bkchum
US-AZ,x00946
US-AZ,annhum
US-AZ,x00690
US-AZ,x00651
US-AZ,coshum
US-AZ,x00737
US-AZ,x00384
US-AZ,x00618
US-AZ,calhum
US-AZ,x00768
US-AZ,rufhum
US-AZ,x00626
US-AZ,x00852
US-AZ,allhum
US-AZ,x00385
US-AZ,brthum
US-AZ,x01091
US-AZ,bumhum
US-AZ,x00739
US-AZ,brbhum
US-AZ,x00676
US-AZ,x00387
US-AZ,whehum
US-AZ,vichum
US-AZ,x00633
US-AZ,berhum
US-AZ,mxbhum1
US-AZ,cinhum1
US-AZ,ridrai1
US-AZ,virrai
US-AZ,sora
US-AZ,comgal1
US-AZ,y00475
US-AZ,purgal2
US-AZ,blkrai
US-AZ,sancra
US-AZ,comcra
US-AZ,bknsti
US-AZ,ameavo
US-AZ,bkbplo
US-AZ,amgplo
US-AZ,pagplo
US-AZ,killde
US-AZ,semplo
US-AZ,lessap2
US-AZ,mouplo
US-AZ,snoplo5
US-AZ,norjac
US-AZ,uplsan
US-AZ,whimbr
US-AZ,lobcur
US-AZ,hudgod
US-AZ,margod
US-AZ,shbdow
US-AZ,lobdow
US-AZ,amewoo
US-AZ,wilsni1
US-AZ,wilpha
US-AZ,redpha1
US-AZ,renpha
US-AZ,sposan
US-AZ,solsan
US-AZ,wantat1
US-AZ,lesyel
US-AZ,willet1
US-AZ,greyel
US-AZ,rudtur
US-AZ,blktur
US-AZ,redkno
US-AZ,ruff
US-AZ,shtsan
US-AZ,stisan
US-AZ,bubsan
US-AZ,sander
US-AZ,dunlin
US-AZ,baisan
US-AZ,whrsan
US-AZ,leasan
US-AZ,pecsan
US-AZ,wessan
US-AZ,semsan
US-AZ,lotjae
US-AZ,parjae
US-AZ,pomjae
US-AZ,litgul
US-AZ,bklkit
US-AZ,ivogul
US-AZ,sabgul
US-AZ,bongul
US-AZ,laugul
US-AZ,fragul
US-AZ,heegul
US-AZ,mewgul2
US-AZ,ribgul
US-AZ,yefgul
US-AZ,wesgul
US-AZ,hergul
US-AZ,glagul
US-AZ,lbbgul
US-AZ,calgul
US-AZ,glwgul
US-AZ,x00050
US-AZ,y00478
US-AZ,blkski
US-AZ,leater1
US-AZ,caster1
US-AZ,blkter
US-AZ,forter
US-AZ,arcter
US-AZ,comter
US-AZ,eleter1
US-AZ,royter1
US-AZ,whttro
US-AZ,rebtro
US-AZ,retloo
US-AZ,pacloo
US-AZ,comloo
US-AZ,yebloo
US-AZ,layalb
US-AZ,wrspet
US-AZ,bkspet
US-AZ,lsspet
US-AZ,jufpet
US-AZ,wetshe
US-AZ,sooshe
US-AZ,bkvshe
US-AZ,woosto
US-AZ,magfri
US-AZ,brnboo
US-AZ,bfoboo
US-AZ,doccor
US-AZ,neocor
US-AZ,amwpel
US-AZ,brnpel
US-AZ,amebit
US-AZ,leabit
US-AZ,ycnher
US-AZ,bcnher
US-AZ,libher
US-AZ,triher
US-AZ,redegr
US-AZ,snoegr
US-AZ,grnher
US-AZ,categr1
US-AZ,greegr
US-AZ,grbher3
US-AZ,whiibi
US-AZ,gloibi
US-AZ,whfibi
